file,location,frequency,status,error,header_found,rows_after_datetime_parse,mapped_columns_count,missing_cells,rows_with_missing,invalid_negative,invalid_gt500,duplicate_timestamps,irregular_gaps
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\july 23\DCR AIIMS_RAIPUR _ QUAT - JULY-2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\july 23\DCR AIIMS_RAIPUR_ Hourly - July-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\JUNE 2023\DCR AIIMS_RAIPUR _ QUAT - JUNE -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\JUNE 2023\DCR AIIMS_RAIPUR_ Hourly -JUNE-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\mar-23\DCR AIIMS_RAIPUR _ QUAT - MAR -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,83.0,19.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\mar-23\DCR AIIMS_RAIPUR_ Hourly - MAR-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,19.0,6.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\may-23\DCR AIIMS_RAIPUR _ QUAT - MAY -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\may-23\DCR AIIMS_RAIPUR_ Hourly - MAY-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\Nov-23\DCR AIIMS_RAIPUR _ QUAT - Nov -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\Nov-23\DCR AIIMS_RAIPUR_ Hourly - Nov-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0
